eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
SS_Moth_trap_1,South,Bog,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,how long?,hour,09/11/2024,19:30,255,"Bird poo found in the morning, suspected to have eaten the moths in the area",Scotland,GB-SCT,Lochranza,,,,,SS_Moth_trap_1_Epirrita_sp.,HumanObservation,1,Moth,Epirrita sp.,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,genus
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Prosapia_bicincta,HumanObservation,1,Frog hopper,Prosapia bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Xestia_xanthographa,HumanObservation,4,Square-spot rustic ,Xestia xanthographa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Nephrotoma_appendiculata,HumanObservation,3,Crane fly,Nephrotoma appendiculata,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Noctua_comes,HumanObservation,3,Lesser yellow underwing,Noctua comes,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Eugnorisma_glareosa,HumanObservation,1,Autumnal rustic,Eugnorisma glareosa,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Gortyna_flavago,HumanObservation,1,Frosted orange,Gortyna flavago,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Amphipoea_sp.,HumanObservation,1,Ear moth,Amphipoea sp.,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,genus
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Agriphila_tristella,HumanObservation,1,Common grass veneer,Agriphila tristella,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,species
NS_Moth_trap_1,North,South border near stream,,Moth trap,One trap (MODEL?) was left before dusk and picked up after dawn,,hour,09/11/2024,19:47,255,,Scotland,GB-SCT,Lochranza,,55.70283,-5.26718,WGS84,NS_Moth_trap_1_Epinotia_abbreviana,HumanObservation,1,Moth,Epinotia abbreviana,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,species
